model,reg_r2_mean,reg_r2_std,cls_auroc_mean,cls_auroc_std,cls_mcc_mean,cls_mcc_std
hist_gb,-0.048442371150917894,0.2932068811011394,0.7006149647498809,0.06671535208221377,0.2437774569189933,0.16367031072641697
random_forest,0.07283381601379688,0.24044980448399692,0.7248037821745977,0.09872103324533318,0.2637111472587462,0.1753510627419335
extra_trees,0.05799124730580516,0.2303295813897985,0.6571246901158785,0.07546566685035147,0.17415455284639855,0.1573925484403325
ensemble,0.06338496755768364,0.23058100111179405,0.7006540526547888,0.07484967572703796,0.22233281553482903,0.17191765727408095
