model,setting,rmse,mae,r2,accuracy,f1,auroc
Public baseline (TF-IDF),random,0.9445913037060221,0.6107571488835644,0.276878493191995,0.7050691244239631,0.7672727272727272,0.7726016581129095
Enhanced predictor,random,0.8771753360944081,0.5595781903360517,0.37641420113405644,0.7511520737327189,0.8125,0.8390248716936438
Enhanced predictor,source,1.340043240305158,0.955275306335273,-0.7706780643161308,0.7583710407239819,0.856682769726248,0.6629606278465766
Hybrid predictor,random,0.8670702463340333,0.5713292938897002,0.39069890362526605,0.7695852534562212,0.8175182481751825,0.845514212396368
Descriptor RF (group CV mean),group_cv,0.9433613795997495,0.6236904629575493,0.07283381601379688,0.7250642954747685,0.8025848072101512,0.7248037821745977
