source,test_samples,num_classes,permeability_std,is_valid_for_strict_summary,regression,classification,reg_rmse,reg_r2,cls_auroc,cls_pr_auc,cls_mcc,cls_bal_acc,log_test_samples
2020_Townsend,1063,2,0.9975117114303722,True,"{'rmse': 0.9951394197573574, 'mae': 0.5301119174324094, 'r2': 0.004750762808599318}","{'accuracy': 0.7732831608654751, 'balanced_accuracy': 0.4938097489232062, 'f1': 0.8720127456186936, 'mcc': -0.043084658050028736, 'pr_auc': 0.893110076279022, 'auroc': 0.6573116924046645}",0.9951394197573574,0.004750762808599318,0.6573116924046645,0.893110076279022,-0.043084658050028736,0.4938097489232062,3.0265332645232967
2016_Furukawa,688,2,1.0867564688364184,True,"{'rmse': 0.8875230289882883, 'mae': 0.6586043724797342, 'r2': 0.33304767093366916}","{'accuracy': 0.5959302325581395, 'balanced_accuracy': 0.5293690327936903, 'f1': 0.734225621414914, 'mcc': 0.12708964948752483, 'pr_auc': 0.8171600317141327, 'auroc': 0.7660768645357686}",0.8875230289882883,0.33304767093366916,0.7660768645357686,0.8171600317141327,0.12708964948752483,0.5293690327936903,2.837588438235511
2018_Naylor,63,2,0.6090432546765618,True,"{'rmse': 0.7062026963186249, 'mae': 0.6001899054927539, 'r2': -0.34450514207973004}","{'accuracy': 0.7619047619047619, 'balanced_accuracy': 0.7840909090909092, 'f1': 0.8387096774193549, 'mcc': 0.45246196555749746, 'pr_auc': 0.9661175356930916, 'auroc': 0.8321678321678322}",0.7062026963186249,-0.34450514207973004,0.8321678321678322,0.9661175356930916,0.45246196555749746,0.7840909090909092,1.7993405494535817
2015_Wang,62,2,1.342904620581517,True,"{'rmse': 1.393112851509331, 'mae': 0.9367843388010351, 'r2': -0.0761734190906096}","{'accuracy': 0.6612903225806451, 'balanced_accuracy': 0.7053571428571428, 'f1': 0.5116279069767442, 'mcc': 0.3441664059757128, 'pr_auc': 0.5983870135019895, 'auroc': 0.7708333333333333}",1.393112851509331,-0.0761734190906096,0.7708333333333333,0.5983870135019895,0.3441664059757128,0.7053571428571428,1.792391689498254
2022_Taechalertpaisarn,52,2,0.7399528211411813,True,"{'rmse': 0.6576462753649079, 'mae': 0.4998024732779531, 'r2': 0.2100917150093501}","{'accuracy': 0.6730769230769231, 'balanced_accuracy': 0.6730769230769231, 'f1': 0.5142857142857142, 'mcc': 0.457495710997814, 'pr_auc': 0.8748374190868585, 'auroc': 0.8609467455621302}",0.6576462753649079,0.2100917150093501,0.8609467455621302,0.8748374190868585,0.457495710997814,0.6730769230769231,1.7160033436347992
2021_Golosov,19,2,0.7455128930368747,True,"{'rmse': 0.9103320744244414, 'mae': 0.7889426358366681, 'r2': -0.4910402678780519}","{'accuracy': 0.5789473684210527, 'balanced_accuracy': 0.7647058823529411, 'f1': 0.6923076923076923, 'mcc': 0.32539568672798425, 'pr_auc': 0.9932718185313341, 'auroc': 0.9411764705882353}",0.9103320744244414,-0.4910402678780519,0.9411764705882353,0.9932718185313341,0.32539568672798425,0.7647058823529411,1.2787536009528289
2015_Hewitt,18,2,0.8017775391105829,True,"{'rmse': 0.8282301937354921, 'mae': 0.7228506565944554, 'r2': -0.06707352867428806}","{'accuracy': 0.5, 'balanced_accuracy': 0.5, 'f1': 0.6666666666666666, 'mcc': 0.0, 'pr_auc': 0.6167789001122335, 'auroc': 0.5308641975308642}",0.8282301937354921,-0.06707352867428806,0.5308641975308642,0.6167789001122335,0.0,0.5,1.255272505103306
2015_Bockus_2,17,2,0.47306919543320514,True,"{'rmse': 0.7183949355886315, 'mae': 0.6089103606454535, 'r2': -1.3060949543659515}","{'accuracy': 0.5882352941176471, 'balanced_accuracy': 0.55, 'f1': 0.72, 'mcc': 0.06546536707079773, 'pr_auc': 0.94747520997521, 'auroc': 0.7}",0.7183949355886315,-1.3060949543659515,0.7,0.94747520997521,0.06546536707079773,0.55,1.2304489213782739
2012_Rand,16,2,0.5146293417353892,True,"{'rmse': 0.43964120560421543, 'mae': 0.316993529982057, 'r2': 0.2701935584820514}","{'accuracy': 0.5625, 'balanced_accuracy': 0.5158730158730158, 'f1': 0.6956521739130435, 'mcc': 0.047619047619047616, 'pr_auc': 0.7963684463684464, 'auroc': 0.6984126984126985}",0.43964120560421543,0.2701935584820514,0.6984126984126985,0.7963684463684464,0.047619047619047616,0.5158730158730158,1.2041199826559248
2015_Ahlbach,14,2,0.7464377989860254,True,"{'rmse': 0.7120371783918484, 'mae': 0.43299425441323536, 'r2': 0.09004881719189084}","{'accuracy': 0.8571428571428571, 'balanced_accuracy': 0.9, 'f1': 0.8888888888888888, 'mcc': 0.7302967433402214, 'pr_auc': 0.9909090909090909, 'auroc': 0.975}",0.7120371783918484,0.09004881719189084,0.975,0.9909090909090909,0.7302967433402214,0.9,1.146128035678238
