group,count,uniqueness,novelty_vs_train,pairwise_jaccard_diversity,mean_natural_ratio,mean_n_methyl_ratio,mean_d_ratio,mean_predicted_permeability,mean_predicted_positive_prob,mean_improvement
train_top100,100,1.0,0.0,0.714708061859577,0.36,0.41666666666666674,0.13166666666666665,,,
optimized_shortlist,12,1.0,1.0,0.5535113035113034,0.5555555555555557,0.27777777777777773,0.16666666666666666,-4.510564873254314,0.9846491452041003,0.3394351267456875
de_novo_shortlist,24,1.0,1.0,0.7052306188175754,0.34027777777777773,0.45138888888888884,0.07638888888888888,-4.724814869193243,0.9869960208795784,
