candidate_group,descriptor,overall_train_mean,train_top100_mean,candidate_mean,candidate_z_vs_overall,distance_to_train_top100,improvement_toward_train_top100
optimized_shortlist,MolLogP_mean,0.7863577876251977,0.7916126666666667,0.7772694444444445,-0.052466823137142,0.0143432222222222,-0.0090883431807532
de_novo_shortlist,MolLogP_mean,0.7863577876251977,0.7916126666666667,0.7884215277777779,0.0119139305628055,0.0031911388888888,0.0020637401525801
optimized_shortlist,TPSA_mean,25.911305021085926,24.332283333333336,25.193333333333328,-0.2548480702395962,0.8610499999999917,0.7179716877525983
de_novo_shortlist,TPSA_mean,25.911305021085926,24.332283333333336,22.62958333333333,-1.1648654862771832,1.7027000000000072,-0.1236783122474172
optimized_shortlist,FractionCSP3_mean,0.7159856925924926,0.7521905362316665,0.7121031745,-0.0495935655395502,0.0400873617316664,-0.0038825180924925
de_novo_shortlist,FractionCSP3_mean,0.7159856925924926,0.7521905362316665,0.7938740078333334,0.9949108219562628,0.0416834716016668,-0.0054786279624928
optimized_shortlist,qed_mean,0.5562419630929537,0.547592552905,0.5623064939166668,0.2366010672616691,0.0147139410116667,-0.006064530823713
de_novo_shortlist,qed_mean,0.5562419630929537,0.547592552905,0.5341373938402777,-0.8623857027971268,0.0134551590647222,-0.0048057488767685
optimized_shortlist,n_methyl_ratio,0.1993937796520822,0.4166666666666667,0.2777777777777777,0.4754981276827607,0.138888888888889,0.0783839981256954
de_novo_shortlist,n_methyl_ratio,0.1993937796520822,0.4166666666666667,0.4513888888888888,1.5286691862179251,0.0347222222222221,0.1825506647923624
optimized_shortlist,d_ratio,0.2196340713407134,0.1316666666666666,0.1666666666666666,-0.3383309564062338,0.035,0.0529674046740467
de_novo_shortlist,d_ratio,0.2196340713407134,0.1316666666666666,0.0763888888888888,-0.9149830896520792,0.0552777777777778,0.0326896268962689
optimized_shortlist,aromatic_ratio,0.1429120541205412,0.1199999999999999,0.1666666666666665,0.1979915780580377,0.0466666666666665,-0.0237546125461253
de_novo_shortlist,aromatic_ratio,0.1429120541205412,0.1199999999999999,0.0763888888888888,-0.5544618518216494,0.0436111111111111,-0.0206990569905698
