group_a,group_b,metric,group_a_mean,group_b_mean,mean_diff,ci_lower,ci_upper,permutation_pvalue
full,no_motif,predicted_positive_prob,0.9838185944388064,0.9854965863678521,-0.001677991929045719,-0.009839616606760184,0.006359642043979355,0.677887018830195
full,no_motif,predicted_permeability,-4.7182224890117,-4.733191464128346,0.014968975116645744,-0.06405004680262465,0.09818904554562038,0.7248791868021996
full,no_motif,motif_score,0.1615078361816038,0.12466608288671316,0.036841753294890645,0.01702698743290182,0.05743368494409131,0.0006665555740709882
full,no_motif,composition_alignment,0.6417852980352979,0.6808353683353682,-0.03905007030007024,-0.15106577450327444,0.07368441743441745,0.5124145975670722
full,no_motif,uncertainty_stability,0.766995656699954,0.7716313753435308,-0.004635718643576814,-0.05374780718474598,0.04507793306589173,0.8623562739543409
full,no_composition,predicted_positive_prob,0.9838185944388064,0.9751387818971168,0.008679812541689591,-0.001562154427690954,0.018952564229944412,0.10748208631894685
full,no_composition,predicted_permeability,-4.7182224890117,-4.659234320369453,-0.058988168642247096,-0.13731422387348932,0.015011147246632222,0.1371438093651058
full,no_composition,motif_score,0.1615078361816038,0.1532231835919561,0.008284652589647695,-0.014384755707322245,0.03085568510532659,0.4829195134144309
full,no_composition,composition_alignment,0.6417852980352979,0.4662937371270704,0.17549156090822754,0.07742902352277357,0.2762637728783562,0.0009998333611064823
full,no_composition,uncertainty_stability,0.766995656699954,0.7391373415004182,0.027858315199535744,-0.024877334953820267,0.07887094687321158,0.32011331444759206
full,no_uncertainty,predicted_positive_prob,0.9838185944388064,0.9830831377478427,0.0007354566909636429,-0.007830130959820217,0.009784165550213636,0.8806865522412931
full,no_uncertainty,predicted_permeability,-4.7182224890117,-4.687580686404202,-0.030641802607498825,-0.11087880849095273,0.04811811837938578,0.451258123646059
full,no_uncertainty,motif_score,0.1615078361816038,0.15751834878522586,0.003989487396377944,-0.018084462258618067,0.026070253040339508,0.7453757707048825
full,no_uncertainty,composition_alignment,0.6417852980352979,0.6019524457024455,0.039832852332852386,-0.07211885336885326,0.1435377122877123,0.48725212464589235
full,no_uncertainty,uncertainty_stability,0.766995656699954,0.7585923602351331,0.008403296464820853,-0.04059593172549973,0.05793180459678332,0.7377103816030661
full,quality_only,predicted_positive_prob,0.9838185944388064,0.9737384735923054,0.010080120846501006,0.00026666696220465676,0.02001357564546919,0.06032327945342443
full,quality_only,predicted_permeability,-4.7182224890117,-4.63276892396219,-0.08545356504951052,-0.15724845167261253,-0.012681556276636282,0.027162139643392768
full,quality_only,motif_score,0.1615078361816038,0.13734587676407503,0.024161959417528772,0.00326132951054189,0.04457028376746311,0.032994500916513916
full,quality_only,composition_alignment,0.6417852980352979,0.43014431556098215,0.2116409824743158,0.1237947912427078,0.3041174489091156,0.00016663889351774705
full,quality_only,uncertainty_stability,0.766995656699954,0.7137946482474318,0.05320100845252218,0.008167220547374376,0.10101341687971495,0.031161473087818695
