variant,final_count,uniqueness,novelty_vs_train,pairwise_jaccard_diversity,mean_predicted_permeability,mean_predicted_positive_prob,mean_perm_quality,mean_motif_score,mean_composition_alignment,mean_uncertainty_stability,mean_natural_ratio,mean_n_methyl_ratio,mean_d_ratio,stage1_top_count,stage2_unique_count,final_pool_count
no_motif,24,1.0,1.0,0.7266203703703703,-4.733191464128346,0.9854965863678521,0.6477787079934246,0.12466608288671321,0.6808353683353682,0.7716313753435308,0.34027777777777773,0.45138888888888884,0.07638888888888888,240,6209,80
full,24,1.0,1.0,0.697567287784679,-4.7182224890117,0.9838185944388064,0.661819078314206,0.16150783618160386,0.6417852980352979,0.766995656699954,0.3541666666666667,0.4583333333333333,0.06944444444444443,240,6189,80
no_uncertainty,24,1.0,1.0,0.7173884288014724,-4.687580686404202,0.9830831377478427,0.6955851349550649,0.1575183487852259,0.6019524457024455,0.7585923602351331,0.34027777777777773,0.4791666666666667,0.048611111111111105,240,6227,80
no_composition,24,1.0,1.0,0.6971704623878536,-4.659234320369453,0.9751387818971168,0.7246268886507683,0.15322318359195616,0.4662937371270704,0.7391373415004182,0.375,0.47222222222222215,0.013888888888888888,240,6222,80
quality_only,24,1.0,1.0,0.6832873245916724,-4.632768923962189,0.9737384735923054,0.7513017971193977,0.13734587676407506,0.43014431556098215,0.7137946482474318,0.3611111111111111,0.5208333333333334,0.0,240,6256,80
